NM_YR|NM_MTH|MS_CPI_IDX|MS_WITHOUT_ENE_IDX|MS_WITHOUT_PTRL_IDX|MS_WT_CPI|MS_CPI_INFL|MS_HLTH_IDX|MS_SMOOTH_IDX|NM_BASE_YR
1920|1|396.00000000|.|.|1000|.|.|.|1914
1920|1|54.45000000|.|.|1000|.|.|.|1936
1920|1|13.12000000|.|.|1000|.|.|.|1953
1920|1|10.09000000|.|.|1000|.|.|.|1966
1920|1|8.49000000|.|.|1000|.|.|.|1971
1920|1|6.18000000|.|.|1000|.|.|.|1974
1920|1|4.02000000|.|.|1000|.|.|.|1981
1920|1|2.97000000|.|.|1000|.|.|.|1988
1920|1|2.42000000|.|.|1000|.|.|.|1996
1920|1|2.11000000|.|.|1000|.|.|.|2004
1920|1|1.72000000|.|.|1000|.|.|.|2013
1920|2|420.00000000|.|.|1000|.|.|.|1914
1920|2|57.75000000|.|.|1000|.|.|.|1936
1920|2|13.91000000|.|.|1000|.|.|.|1953
1920|2|10.71000000|.|.|1000|.|.|.|1966
1920|2|9.00000000|.|.|1000|.|.|.|1971
1920|2|6.55000000|.|.|1000|.|.|.|1974
1920|2|4.27000000|.|.|1000|.|.|.|1981
1920|2|3.15000000|.|.|1000|.|.|.|1988
1920|2|2.57000000|.|.|1000|.|.|.|1996
1920|2|2.24000000|.|.|1000|.|.|.|2004
1920|2|1.83000000|.|.|1000|.|.|.|2013
1920|3|445.00000000|.|.|1000|.|.|.|1914
1920|3|61.19000000|.|.|1000|.|.|.|1936
1920|3|14.74000000|.|.|1000|.|.|.|1953
1920|3|11.34000000|.|.|1000|.|.|.|1966
1920|3|9.54000000|.|.|1000|.|.|.|1971
1920|3|6.94000000|.|.|1000|.|.|.|1974
1920|3|4.52000000|.|.|1000|.|.|.|1981
1920|3|3.34000000|.|.|1000|.|.|.|1988
1920|3|2.72000000|.|.|1000|.|.|.|1996
1920|3|2.37000000|.|.|1000|.|.|.|2004
1920|3|1.94000000|.|.|1000|.|.|.|2013
1920|4|461.00000000|.|.|1000|.|.|.|1914
1920|4|63.39000000|.|.|1000|.|.|.|1936
1920|4|15.27000000|.|.|1000|.|.|.|1953
1920|4|11.75000000|.|.|1000|.|.|.|1966
1920|4|9.88000000|.|.|1000|.|.|.|1971
1920|4|7.19000000|.|.|1000|.|.|.|1974
1920|4|4.69000000|.|.|1000|.|.|.|1981
1920|4|3.46000000|.|.|1000|.|.|.|1988
1920|4|2.82000000|.|.|1000|.|.|.|1996
1920|4|2.46000000|.|.|1000|.|.|.|2004
1920|4|2.01000000|.|.|1000|.|.|.|2013
1920|5|471.00000000|.|.|1000|.|.|.|1914
1920|5|64.76000000|.|.|1000|.|.|.|1936
